id,custom_label_0
102488,Fix-Me
105046,Fix-Me
101760,Zombie
104575,Zombie
103275,Fix-Me
105234,Sidekick
100276,Zombie
103824,Zombie
105223,Villain
105567,Zombie
101538,Villain
103842,Zombie
100768,Fix-Me
103786,Zombie
105000,Zombie
104783,Zombie
102541,Zombie
101625,Zombie
103242,Newborn
100339,Zombie
103116,Zombie
100371,Fix-Me
100845,Hero
101376,Hero
103282,Fix-Me
103113,Zombie
101504,Villain
100408,Hero
103775,Zombie
102440,Zombie
103994,Zombie
100231,Zombie
102582,Fix-Me
104469,Villain
100142,Zombie
103370,Fix-Me
101362,Fix-Me
105528,Zombie
104468,Villain
103610,Villain
101050,Fix-Me
101529,Sidekick
103281,Fix-Me
101085,Zombie
105206,Zombie
104932,Villain
100030,Zombie
101698,Zombie
104568,Zombie
104925,Hero
105498,Hero
103314,Zombie
103652,Zombie
105561,Zombie
105428,Hero
102431,Zombie
100165,Zombie
103912,Zombie
101494,Hero
101192,Fix-Me
105555,Zombie
100680,Zombie
102832,Zombie
104346,Sidekick
101463,Zombie
101093,Zombie
105047,Zombie
100384,Sidekick
104991,Fix-Me
101713,Zombie
100243,Zombie
103013,Sidekick
105014,Zombie
105671,Newborn
100340,Zombie
101471,Fix-Me
104999,Zombie
105024,Zombie
104845,Fix-Me
105669,Hero
103324,Zombie
100724,Sidekick
102442,Sidekick
104135,Villain
105016,Zombie
101214,Zombie
103455,Fix-Me
103214,Fix-Me
101460,Hero
100130,Zombie
100476,Hero
103822,Villain
104721,Zombie
101467,Fix-Me
101208,Villain
101729,Zombie
103944,Sidekick
104836,Villain
102820,Fix-Me
104738,Newborn
103914,Fix-Me
104691,Zombie
102441,Sidekick
105129,Zombie
102850,Villain
100090,Zombie
105303,Zombie
100234,Newborn
105470,Fix-Me
100725,Sidekick
104090,Sidekick
100330,Zombie
100254,Zombie
103245,Sidekick
104883,Zombie
101182,Villain
103131,Sidekick
103969,Sidekick
104011,Zombie
105564,Newborn
105437,Fix-Me
104296,Villain
101020,Fix-Me
100167,Zombie
101186,Villain
